time,gesture,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56
0.007,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7891098260879517,0.44497716426849365,0.8170849084854126,0.3733191192150116,0.8344635963439941,0.3717644512653351,0.8522880673408508,0.37039706110954285,0.7560900449752808,0.3744492828845978,0.7317620515823364,0.3750729262828827,0.7126684188842773,0.37629279494285583,0.88307124376297,0.389427125453949,0.6783962845802307,0.3924604654312134,0.8206533193588257,0.5117650628089905,0.7500083446502686,0.5105650424957275,0.9661903381347656,0.7220426797866821,0.5866020321846008,0.6484018564224243,1.0307643413543701,1.0718458890914917,0.5797931551933289,0.9440709352493286
0.053,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.806088924407959,0.45966440439224243,0.8377825021743774,0.39120790362358093,0.8576335906982422,0.3893125355243683,0.8745342493057251,0.3879401385784149,0.7680604457855225,0.39273232221603394,0.7472530007362366,0.3930036127567291,0.7277173399925232,0.39397934079170227,0.9000571966171265,0.3986457884311676,0.6879934072494507,0.40538713335990906,0.8442510366439819,0.5299540758132935,0.772672176361084,0.5323308110237122,0.9856724739074707,0.7297187447547913,0.5898734927177429,0.6716498136520386,1.0598843097686768,1.065805196762085,0.5895567536354065,0.9613936543464661
0.127,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8007219433784485,0.4542604088783264,0.8321182131767273,0.38803425431251526,0.8525525331497192,0.38600969314575195,0.8713593482971191,0.3839297890663147,0.7716749906539917,0.3874504864215851,0.7479041814804077,0.3863864541053772,0.7269579172134399,0.3860970437526703,0.8996652364730835,0.39542707800865173,0.6921483278274536,0.39969775080680847,0.8296293020248413,0.5245404839515686,0.7626584768295288,0.5259233117103577,0.9797834157943726,0.7312403321266174,0.5980587601661682,0.6707006692886353,1.0878957509994507,1.091208577156067,0.5952471494674683,0.9681931138038635
0.184,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8046467900276184,0.44874054193496704,0.8321198225021362,0.38078945875167847,0.8519258499145508,0.37921398878097534,0.8701474070549011,0.37763112783432007,0.773160994052887,0.3795555531978607,0.7504456639289856,0.37832048535346985,0.7297000288963318,0.37846317887306213,0.9002488851547241,0.39289456605911255,0.6983550190925598,0.3960551619529724,0.8322698473930359,0.5201236009597778,0.7660720944404602,0.5214003920555115,0.9833564758300781,0.7401254773139954,0.5973834991455078,0.6707554459571838,1.0670239925384521,1.0957542657852173,0.5931235551834106,0.9653745889663696
0.242,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7895693182945251,0.43285638093948364,0.8201909065246582,0.36753928661346436,0.838438868522644,0.36643508076667786,0.8544947504997253,0.36526256799697876,0.7612695097923279,0.36634472012519836,0.7400410771369934,0.3653631806373596,0.7233084440231323,0.3655904531478882,0.8885345458984375,0.38179096579551697,0.7004832029342651,0.38350236415863037,0.8207672834396362,0.5013434886932373,0.7515963315963745,0.5006789565086365,0.9817547798156738,0.7160413265228271,0.5959206819534302,0.662422776222229,1.0774109363555908,1.0895843505859375,0.5915812253952026,0.9583062529563904
0.307,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7859739065170288,0.42341116070747375,0.8189969062805176,0.35978421568870544,0.8375487327575684,0.359043151140213,0.853249192237854,0.35819435119628906,0.7583888173103333,0.35871797800064087,0.737308919429779,0.35810035467147827,0.7211337089538574,0.3585541546344757,0.8890641927719116,0.3756425082683563,0.7009297013282776,0.3768507242202759,0.8187012672424316,0.49012547731399536,0.7452520728111267,0.48872026801109314,0.9870836138725281,0.7156921625137329,0.5990399122238159,0.6564435362815857,1.0824075937271118,1.1100267171859741,0.5901273488998413,0.9559962153434753
0.389,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7783011794090271,0.42238849401474,0.8130029439926147,0.35382768511772156,0.8315180540084839,0.3558826148509979,0.8475930094718933,0.3573808968067169,0.7498223185539246,0.34943586587905884,0.7299132347106934,0.34920409321784973,0.7143784761428833,0.34962591528892517,0.8788290023803711,0.373672753572464,0.69501793384552,0.370972603559494,0.8134855031967163,0.48351648449897766,0.7374573349952698,0.4832572638988495,0.9883214831352234,0.7034898996353149,0.5956764817237854,0.6521275043487549,1.0975552797317505,1.0912702083587646,0.5887739658355713,0.9537827968597412
0.455,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7721835970878601,0.398624986410141,0.8076709508895874,0.3324738144874573,0.8263726234436035,0.33529701828956604,0.8424373865127563,0.33692318201065063,0.7437008619308472,0.32565468549728394,0.7244523763656616,0.3248194754123688,0.7081524729728699,0.3247719407081604,0.872830867767334,0.3586771786212921,0.6890121698379517,0.3473103642463684,0.8081260919570923,0.4635268747806549,0.73249351978302,0.4616861939430237,0.9851253628730774,0.7014294862747192,0.5916671752929688,0.6472873091697693,1.1117908954620361,1.0716227293014526,0.5840562582015991,0.9495916366577148
0.523,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7670884132385254,0.3665759265422821,0.8016343116760254,0.306345671415329,0.8207642436027527,0.30905643105506897,0.8358181715011597,0.3109660744667053,0.7376036643981934,0.3004249632358551,0.7182174921035767,0.3003728687763214,0.7008832693099976,0.301178902387619,0.8629310727119446,0.3355845510959625,0.6810066103935242,0.3262094259262085,0.8017967343330383,0.432246595621109,0.7274600267410278,0.4314526915550232,0.9817249178886414,0.6870055794715881,0.5887947082519531,0.633958101272583,1.106670618057251,1.063977599143982,0.5833183526992798,0.9307796359062195
0.597,gesture_0_left_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7626363039016724,0.34529098868370056,0.7947906255722046,0.2836771011352539,0.8141619563102722,0.28549671173095703,0.8288466334342957,0.2871254086494446,0.7319949865341187,0.28010663390159607,0.7127770185470581,0.28006160259246826,0.6952766180038452,0.2808627188205719,0.8540237545967102,0.31057554483413696,0.675279974937439,0.3058556318283081,0.797098696231842,0.4095921814441681,0.7241994142532349,0.4102272391319275,0.9751056432723999,0.6551893949508667,0.5846092104911804,0.6238794326782227,1.0645307302474976,1.0033231973648071,0.5797604322433472,0.930694580078125
