time,gesture,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56
0.006,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5049492120742798,0.4457489848136902,0.5397357940673828,0.3842674195766449,0.5582484006881714,0.38480842113494873,0.5776511430740356,0.3855053186416626,0.4750465452671051,0.3794501721858978,0.4554819166660309,0.37811338901519775,0.43982815742492676,0.3780464231967926,0.6263982057571411,0.4131793677806854,0.4259487986564636,0.39799264073371887,0.5390544533729553,0.5171312093734741,0.47127383947372437,0.5138377547264099,0.7239621877670288,0.7681826949119568,0.36960116028785706,0.650704562664032,0.7570364475250244,1.1314148902893066,0.36564382910728455,0.9300438761711121
0.067,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5197427868843079,0.4609285593032837,0.5552853345870972,0.3970838189125061,0.577649712562561,0.3960839807987213,0.5990282297134399,0.3953498601913452,0.49226728081703186,0.3947800099849701,0.4702284336090088,0.3933316469192505,0.45191749930381775,0.3930668234825134,0.6400097608566284,0.4130273163318634,0.43257537484169006,0.4091101884841919,0.5542201399803162,0.5331323146820068,0.48791927099227905,0.5325822830200195,0.7412059307098389,0.7743019461631775,0.37197762727737427,0.6600730419158936,0.7706271409988403,1.136167049407959,0.36821842193603516,0.94145268201828
0.129,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5212770700454712,0.453199565410614,0.560282826423645,0.39073610305786133,0.5791319608688354,0.3907429277896881,0.5988830327987671,0.39124712347984314,0.49743348360061646,0.3872831165790558,0.47637873888015747,0.3855411410331726,0.46097612380981445,0.3842104375362396,0.6436641216278076,0.4149594008922577,0.4468652307987213,0.4035908281803131,0.5568161010742188,0.5263292193412781,0.48474687337875366,0.522098958492279,0.7421514987945557,0.7749283909797668,0.3849705457687378,0.6550162434577942,0.7794661521911621,1.1449663639068604,0.37329182028770447,0.9448685050010681
0.189,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5155142545700073,0.43861711025238037,0.5568532347679138,0.37907662987709045,0.5754889249801636,0.38007017970085144,0.5922834873199463,0.38085371255874634,0.49267593026161194,0.3732108175754547,0.4750831723213196,0.3710707724094391,0.46089068055152893,0.3696433901786804,0.6360528469085693,0.4040469229221344,0.4527401328086853,0.3888914883136749,0.5521366000175476,0.505658745765686,0.4802996516227722,0.5030203461647034,0.744916558265686,0.758862316608429,0.3898199498653412,0.6475453972816467,0.7992774844169617,1.1284457445144653,0.382865846157074,0.9383581876754761
0.252,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5140159130096436,0.4233208894729614,0.5551480650901794,0.3668007552623749,0.5762649178504944,0.3699802756309509,0.5941458940505981,0.3724803030490875,0.49295860528945923,0.35905417799949646,0.4760541021823883,0.3569663166999817,0.46143943071365356,0.35538265109062195,0.6338604092597961,0.3974270522594452,0.45363593101501465,0.37600910663604736,0.5504288673400879,0.4923276901245117,0.4803238809108734,0.48748940229415894,0.7490260601043701,0.7496611475944519,0.3878421187400818,0.6437490582466125,0.801418662071228,1.133995532989502,0.38673171401023865,0.940012514591217
0.314,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5123194456100464,0.4099735915660858,0.5524375438690186,0.359133243560791,0.5750551819801331,0.361441433429718,0.5938869714736938,0.36317405104637146,0.4894542694091797,0.3540474772453308,0.4732583463191986,0.35278013348579407,0.4589441418647766,0.3518056571483612,0.6311980485916138,0.3863666355609894,0.4495786726474762,0.37005460262298584,0.549079179763794,0.47522225975990295,0.48029279708862305,0.4712577164173126,0.7447453737258911,0.7284267544746399,0.3866693377494812,0.6371709704399109,0.8085528612136841,1.11915922164917,0.3804921507835388,0.9407728314399719
0.375,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5123053789138794,0.40494298934936523,0.5500435829162598,0.3553040325641632,0.5725480318069458,0.3563365340232849,0.5913065075874329,0.35851189494132996,0.4885057508945465,0.3515125811100006,0.47269386053085327,0.35052433609962463,0.4584011435508728,0.3499620854854584,0.6264507174491882,0.3853853642940521,0.4490443766117096,0.3696034550666809,0.549033522605896,0.46766892075538635,0.4809069037437439,0.463128924369812,0.7456490397453308,0.7159540057182312,0.3833552896976471,0.6316382884979248,0.8114851117134094,1.090606689453125,0.3769906759262085,0.9415485262870789
0.434,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5120196342468262,0.38714122772216797,0.548582911491394,0.3340008854866028,0.5706562399864197,0.33457809686660767,0.5897279977798462,0.3360050320625305,0.4881839156150818,0.33098214864730835,0.47253650426864624,0.33008643984794617,0.4583616852760315,0.32986921072006226,0.6237164735794067,0.3631763756275177,0.45181602239608765,0.3494660556316376,0.5492178201675415,0.45334896445274353,0.4814125597476959,0.45564839243888855,0.747956395149231,0.7096408009529114,0.3914625644683838,0.6308911442756653,0.8105902671813965,1.079200029373169,0.37899133563041687,0.9379390478134155
0.5,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.512290894985199,0.3620302379131317,0.547531008720398,0.30603504180908203,0.5697821378707886,0.30579403042793274,0.589100182056427,0.3064649701118469,0.48756951093673706,0.30544641613960266,0.4721388816833496,0.30505380034446716,0.4575578272342682,0.30503183603286743,0.6213539838790894,0.32949790358543396,0.45000457763671875,0.32303062081336975,0.5513538122177124,0.4301386773586273,0.4848790764808655,0.43214794993400574,0.7483965158462524,0.6977384090423584,0.3901929259300232,0.6298795938491821,0.8120564222335815,1.0723776817321777,0.3797871470451355,0.9350495934486389
0.56,gesture_0_right_20250324-130111.avi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5125014185905457,0.3320837914943695,0.5457916855812073,0.2721256911754608,0.5671643614768982,0.2716037333011627,0.5863417387008667,0.2729090750217438,0.4880386292934418,0.27432674169540405,0.4733014702796936,0.27498292922973633,0.45881423354148865,0.27616825699806213,0.617372989654541,0.29730552434921265,0.4516655504703522,0.29943668842315674,0.5514043569564819,0.4013836085796356,0.4882109761238098,0.4046342670917511,0.7489585876464844,0.6758773922920227,0.3896222710609436,0.6205551624298096,0.8118888735771179,1.0709584951400757,0.3796987235546112,0.9335628151893616
